Genes	Untreated_Mean	Untreated_SEM	Untreated_n	VPI_Mean	VPI_SEM	VPI_n	D4_Mean	D4_SEM	D4_n	CIP_Mean	CIP_SEM	CIP_n
Mif	2.936076566	0.188334698	5	2.999631374	0.308421371	5	2.991091752	0.22853997	5	3.05175551	0.229253287	5
Il18	3.292076566	0.2398249	5	5.301631374	0.224301839	5	3.807091752	0.553539023	5	3.83775551	0.631084945	5
Rorc	4.492076566	0.393534587	5	7.963631374	0.425649281	5	4.853091752	0.206936526	5	4.62375551	0.161347899	5
Tlr4	5.028076566	0.513030748	5	4.831631374	0.207217444	5	4.745091752	0.157763397	5	5.23775551	0.761073645	5
Tgfb1	5.428076566	0.422882808	5	5.521631374	0.248982302	5	5.803091752	0.29797585	5	5.72575551	0.243631057	5
Gata3	5.456076566	4.519304639	5	10.12763137	0.268764543	5	-2.376908248	4.874248821	5	10.29375551	0.403132644	5
Il15	5.702076566	0.297148679	5	8.827631374	0.115258487	4	6.743091752	0.19869855	5	5.98375551	0.152118297	5
Ccl11	6.100076566	0.173907972	5	4.769631374	0.192210572	5	5.881091752	0.437621564	5	5.99175551	0.190406424	5
Tlr2	6.826076566	0.159201734	5	7.457631374	0.365541462	5	7.585091752	0.220806357	5	7.48575551	0.289734196	5
Tlr5	7.472076566	0.246384621	5	9.495631374	0.201660981	5	7.843091752	0.272881868	5	7.43175551	0.48619797	5
Hgf	7.484076566	0.170947682	5	8.015631374	0.183131067	5	7.535091752	0.139873758	5	7.17975551	0.272605217	5
Ccl5	7.578076566	0.321112983	5	8.813631374	0.263324414	5	7.671091752	0.424813519	5	8.27775551	0.270738747	5
Il33	7.778076566	0.278249648	5	4.709631374	0.37067411	5	7.755091752	0.33877794	5	7.17775551	0.385832451	5
Cxcl10	8.398076566	0.414243288	5	5.705631374	0.265784721	5	8.299091752	0.632114684	5	8.54175551	0.704191277	5
Ccl2	8.782076566	0.351486265	5	3.761631374	0.306134383	5	8.439091752	0.480146215	5	8.14375551	0.37456688	5
Csf2	9.128076566	0.596734664	5	8.947631374	0.354711298	5	9.287091752	0.328673522	5	9.27775551	0.378140868	4
Il12a	9.264076566	0.530374569	5	10.66563137	0.535183773	5	10.60109175	0.581185591	5	11.01575551	0.760514311	5
Il1b	9.308076566	0.177770779	5	3.521631374	0.276988133	5	8.921091752	0.381940161	5	9.14375551	0.308136653	5
Ccl7	9.518076566	0.206367162	5	4.057631374	0.380938977	5	8.863091752	0.866551035	5	8.51975551	0.29201694	5
Tnf	9.576076566	0.246140131	5	8.985631374	0.452097259	5	9.855091752	0.195486093	5	9.93975551	0.464953211	5
Tlr9	9.684076566	0.525970093	5	11.25363137	0.377019583	5	9.949091752	0.319409105	5	9.97575551	0.580635097	5
Il17f	10.11407657	0.292632988	5	7.789631374	0.38140893	4	10.39909175	0.240623894	5	10.86375551	0.339386457	5
Ccl3	10.62807657	0.374893151	5	6.135631374	0.326656392	5	11.15509175	0.410073985	5	10.56975551	0.266501089	5
Ccl4	10.69007657	0.302997506	5	6.191631374	0.276737321	5	10.50509175	0.47453738	5	10.66375551	0.305911134	5
Il4	11.44807657	0.345684039	5	11.92963137	0.594218615	5	12.18909175	1.241871971	5	11.01775551	0.134253798	5
Ccl24	11.64407657	0.461919097	5	11.62763137	0.329849511	5	10.68509175	0.575459995	5	11.69775551	0.613021034	5
Il23a	11.97207657	0.274508791	5	10.88763137	0.222957184	5	12.59309175	0.213572963	5	11.65975551	0.412820295	5
Tbx21	12.21007657	0.258348659	5	13.98763137	0.526369903	5	12.53709175	0.289766481	5	12.94775551	0.714089465	5
Cxcl2	12.50807657	0.58179531	5	3.835631374	0.221680052	5	12.99709175	0.464299008	5	12.58175551	0.169673661	5
Cxcl1	12.89407657	0.80591258	5	5.595631374	0.29181781	5	12.99509175	0.431251566	5	13.07575551	0.746929332	5
Cxcl9	12.96407657	0.421446778	5	9.417741039	0.268115602	4	13.16509175	0.901011469	5	11.98175551	0.659918597	5
Ifng	13.06607657	0.150977862	5	10.09963137	0.303305441	5	13.19709175	0.477334115	5	15.23775551	1.342662753	5
Il10	13.17407657	0.652725442	5	11.80763137	0.546557242	5	12.79393557	0.444406047	4	11.96175551	0.62259157	5
Il5	13.23607657	0.79666175	5	15.99274104	0.86613592	4	12.38309175	0.691639397	5	13.71775551	0.731178685	5
Il6	13.35607657	0.730678647	5	6.535631374	0.170956546	4	13.40709175	0.598817468	5	13.96041127	0.3766462	5
Il17a	13.6870521	1.724719439	4	10.12763137	0.892053475	4	12.47309175	0.976590859	5	12.81219951	1.507892052	4
Il27	13.82807657	0.638913546	5	11.75963137	0.297300649	5	13.31509175	0.309042738	5	12.65469951	0.22907701	4
Il9	13.95607657	1.144737348	5	12.58163137	0.907032518	5	13.30109175	0.597716955	5	12.91175551	1.010984855	5
Csf3	14.41007657	0.760954611	5	6.387631374	0.122391811	5	15.02909175	0.520945163	5	15.27219951	1.139136816	4
Il13	14.80207657	1.339427034	5	14.53163137	0.527378425	4	11.30909175	0.679248562	5	13.44175551	0.590134049	5
Il2	14.88207657	0.386803847	5	13.51024104	0.957396055	4	14.78109175	0.449030636	5	15.57575551	1.255032934	5
Il22	15.21007657	1.193595374	5	6.587631374	0.631762523	5	15.05096046	1.112319855	4	14.14122806	1.034404917	4
Il25	15.60207657	0.693274143	5	13.73024104	1.688062295	4	16.86509175	1.033980779	5	15.85469951	1.184700294	4
Il21	15.90007657	0.757095567	5	13.72774104	0.409932288	4	13.54850558	1.364081628	4	13.72890013	1.533602459	2
Il3	16.77807657	0.876993825	5	14.85563137	1.364249109	4	15.75309175	1.483013798	5	14.43055519	1.619572403	3
