genes	Untreated_Mean	Untreated_SEM	Untreated_n	VPI_Mean	VPI_SEM	VPI_n	D4_Mean	D4_SEM	D4_n	CIP_Mean	CIP_SEM	CIP_n
Epcam	-0.869648723	0.215884097	5	0.164624661	0.131496378	4	-1.068178708	0.296835991	5	-0.991594949	0.241465503	5
Muc3	-0.513648723	0.353803531	5	0.264624661	0.13059597	4	-1.076178708	0.29949622	5	-0.325594949	0.241329019	5
Pigr	-0.447648723	0.282569818	5	2.969624661	0.45484066	4	-0.802178708	0.130140108	5	-0.073594949	0.405711694	5
Muc2	-0.383648723	0.380023496	5	0.484624661	0.244406161	4	-2.014178708	0.516611138	5	-1.597594949	0.404744765	5
Mylk	1.522351277	0.332413214	5	3.374624661	0.176867811	4	0.517821292	0.583519529	5	0.604405051	0.288246219	5
Cdh1	1.670351277	0.21816708	5	1.784624661	0.257235406	4	1.111821292	0.39306646	5	1.442405051	0.242933592	5
Slpi	2.742351277	1.161319125	5	-0.572875339	0.306678705	4	2.225821292	0.576780171	5	2.700405051	0.946257846	5
Xbp1	2.922351277	0.287823094	5	2.712124661	0.392520483	4	2.439821292	0.273327265	5	2.602405051	0.16525755	5
Ang4	3.314351277	1.247809259	5	8.364624661	0.613357345	4	-0.836178708	0.955631969	5	3.150405051	0.360001081	5
Ctfr	3.522351277	0.233562905	5	6.112124661	0.158281415	4	3.425821292	0.521389119	5	3.558405051	0.215125226	5
Aldh1a1	3.616351277	0.462781006	5	7.704624661	0.701995941	4	3.847821292	0.581873026	5	2.604405051	0.35149489	5
Cgn	3.616351277	0.203476485	5	4.517124661	0.253211377	4	3.095821292	0.423345707	5	3.312405051	0.213516729	5
Hspb1	3.662351277	0.339161883	5	2.337124661	0.166200252	4	2.357821292	0.440748003	5	2.752405051	0.311447278	5
Zfp148	3.992351277	0.209988013	5	5.157124661	0.149407717	4	4.393821292	0.363454526	5	3.954405051	0.128306336	5
Pparg	4.060351277	0.238920108	5	4.324624661	0.198428376	4	3.851821292	0.42078004	5	3.840405051	0.636713968	5
Hspa1b	4.636351277	0.11669657	5	4.862124661	0.455444816	4	4.361821292	0.443595737	5	4.670405051	0.604230055	5
Tjp2	4.906351277	0.21239915	5	5.307124661	0.158497458	4	4.685821292	0.295965273	5	4.862405051	0.321644047	5
Tcf4	4.926351277	0.218843436	5	5.674624661	0.196154522	4	4.291821292	0.345250425	5	4.808405051	0.303077028	5
Tjp1	4.926351277	0.218231974	5	4.754624661	0.206287157	4	4.679821292	0.537261864	5	4.940405051	0.442753919	5
Cldn2	5.170351277	0.51785905	5	7.467124661	2.076490645	4	4.471821292	0.472426596	5	4.528405051	0.177867762	5
Lyz1	5.640351277	0.698743196	5	6.904624661	0.490109635	4	4.951821292	0.321795249	5	3.948405051	1.365459633	5
Retnla	6.158351277	0.550558986	5	7.604624661	0.579631619	4	4.271821292	0.45673377	5	4.958405051	0.594293425	5
Gpr35	6.256351277	0.216636997	5	7.934624661	0.292243481	4	6.381821292	0.2053005	5	7.262405051	0.26558733	5
Aldh1a2	6.612351277	0.115161012	5	8.347124661	0.144844494	4	5.955821292	0.302523263	5	5.560405051	0.308530405	5
Nod1	7.320351277	0.178432485	5	8.609624661	0.148940525	4	7.001821292	0.271369709	5	7.324405051	0.266714841	5
Tslp	7.500351277	0.302755828	5	8.009624661	0.404192146	4	6.407821292	0.85867714	5	7.484405051	0.267136271	5
Ffar2	7.702351277	0.448931899	5	9.104624661	0.261282168	4	7.023821292	0.335262646	5	7.030405051	0.568919941	5
Nos2	7.912351277	0.76074973	5	6.417124661	0.441775942	4	7.343821292	0.155081002	5	7.898405051	0.300102366	5
Cldn1	7.936351277	0.295768954	5	7.859624661	0.446483258	4	7.473821292	0.293488388	5	7.652405051	0.38544121	5
Muc5ac	8.394351277	0.725519017	5	9.192124661	0.30822471	4	8.519821292	0.493319334	5	7.874405051	1.032954876	5
Arg1	8.488351277	0.171906335	5	8.424624661	0.422881922	4	7.779821292	0.299925442	5	8.050405051	0.232741028	5
Ccl2	9.004351277	0.537516308	5	3.527124661	0.419307072	4	7.455821292	0.42183375	5	9.188405051	1.784360265	5
Shh	9.130351277	0.518634166	5	10.08212466	0.660995413	4	8.661821292	0.710387512	5	8.472405051	0.814578953	5
Reg3g	9.280351277	1.541874013	5	3.362124661	0.36769431	4	8.037821292	0.960317824	5	4.520405051	1.599315955	5
Chi3l3	9.378351277	0.128660033	5	7.227124661	0.218709981	4	9.189821292	0.804002944	5	9.404405051	0.576528279	5
Nod2	9.584351277	0.251053113	5	8.567124661	0.304856644	4	9.739821292	0.515391444	5	9.040405051	0.234778331	5
Defb1	9.848351277	0.616041372	5	10.15962466	0.22545906	4	10.29382129	0.975177008	5	10.73840505	0.522303998	5
Tff2	10.53835128	0.285320589	5	10.78462466	0.262617392	4	10.31782129	0.671574903	5	9.628405051	1.65870675	5
Ffar3	10.71635128	0.116656807	5	12.70212466	0.960818868	4	10.56182129	0.706506337	5	10.29640505	0.355790224	5
Defa1	10.92835128	1.139020789	5	9.362124661	1.257650063	4	10.18782129	0.483973444	5	7.062405051	2.351653809	5
Defa4	11.08635128	1.164852207	5	9.112124661	1.749384855	4	8.767821292	0.5525762	5	6.412405051	2.668037726	5
Camp	11.20035128	0.469009667	5	10.11462466	0.399595155	4	10.55982129	0.299109656	5	10.55640505	0.34832255	5
Muc5b	11.25235128	0.303840268	5	11.89462466	0.322371027	4	11.01182129	0.413579921	5	10.71040505	0.280110386	5
Hrh4	11.35035128	0.431261296	5	12.07712466	0.660837175	4	10.73982129	0.704159776	5	11.49040505	0.756576137	5
Defb3	13.95077052	0.542172153	3	9.769624661	0.499693996	4	9.497821292	0.833458538	5	9.894405051	1.352553956	5
